ticker,analyst_name,role,recommendation,target_price_cad,last_update,thesis_summary,key_risks,next_earnings,status,notes
TSX:DOL,TBD,Analyst,Hold,,2025-01-01,Defensive compounder with exceptional unit economics and pricing power in a value-retail niche.,FX exposure on imports; margin pressure if tariffs increase.,Q1 2025,À revoir,
TSX:ONEX,TBD,Analyst,Watchlist,,2025-01-01,Diversified PE firm with strong track record; discount to NAV creates potential upside.,Illiquid NAV; dependent on exit environment; leverage at portfolio companies.,Q1 2025,À revoir,
TSX:SHOP,TBD,Analyst,Hold,,2025-01-01,Platform network effects with global TAM; transitioning to profitable growth.,High valuation; competition from Amazon/TikTok Shop; macro sensitivity.,Q1 2025,À revoir,
TSX:WSP,TBD,Analyst,Buy,,2025-01-01,Infrastructure supercycle beneficiary; M&A-driven compounder with recurring backlog.,Integration risk from acquisitions; government spending cyclicality.,Q1 2025,À revoir,
TSX:L,TBD,Analyst,Hold,,2025-01-01,Defensive grocery anchor with growing Shoppers Drug Mart; disciplined capital allocation.,Regulatory scrutiny on pricing; Competition from Costco/discount formats.,Q1 2025,À revoir,
TSX:NA,TBD,Analyst,Buy,,2025-01-01,Best organic growth among Big 6; strong Wealth and Capital Markets franchises.,Quebec concentration; CWB integration execution risk.,Q2 2025,À revoir,
TSX:SJ,TBD,Analyst,Hold,,2025-01-01,Niche compounder in utility poles and railway ties; long-duration contracts.,Lumber price volatility; housing starts sensitivity.,Q1 2025,À revoir,
TSX:RY,TBD,Analyst,Hold,,2025-01-01,Largest Canadian bank; diversified revenues; strong capital position post-HSBC deal.,Capital markets cyclicality; housing market risk; credit normalization.,Q1 2025,À revoir,
TSX:SIS,TBD,Analyst,Watchlist,,2025-01-01,Demographic tailwind from aging population; niche accessibility equipment market.,Integration risk; interest rate sensitivity on acquisitions; thin float.,Q1 2025,À revoir,
TSX:QBR.B,TBD,Analyst,Hold,,2025-01-01,Defensive telecom with growing wireless; strong FCF generation in Quebec market.,Wireless competition from Rogers post-Shaw; cord-cutting secular trend.,Q1 2025,À revoir,
